N,age,FeH,Mini,Mf,logL,logT,logg,phase,G_EDR3,GBP_EDR3,GRP_EDR3,age_WD,disk_label
0.00015873624741576572,13.0,-2.7,0.1,0.1,-2.779,3.5589,5.405,1.0,12.032,12.986,11.068,nan,2
0.00047045362847881984,13.0,-2.7,0.10982143,0.109,-2.631,3.5742,5.356,1.0,11.631,12.503,10.711,nan,2
0.0005130174949011944,13.0,-2.7,0.12946428,0.129,-2.388,3.5967,5.276,1.0,10.981,11.744,10.121,nan,2
0.00042046928009591025,13.0,-2.7,0.14910716,0.149,-2.224,3.608,5.219,1.0,10.547,11.266,9.714,nan,2
0.0005111685025935171,13.0,-2.7,0.16875,0.168,-2.098,3.6153,5.174,1.0,10.214,10.906,9.398,nan,2
0.0005896898461966156,13.0,-2.7,0.20803572,0.207,-1.894,3.6262,5.106,1.0,9.679,10.335,8.888,nan,2
0.0004981169678883384,13.0,-2.7,0.25714287,0.257,-1.707,3.6363,5.051,1.0,9.186,9.811,8.417,nan,2
0.0003925491351449033,13.0,-2.7,0.30625004,0.306,-1.562,3.6447,5.016,1.0,8.802,9.402,8.051,nan,2
0.000291452432125335,13.0,-2.7,0.35535714,0.355,-1.44,3.6526,4.99,1.0,8.476,9.054,7.742,nan,2
0.00027408562717988277,13.0,-2.7,0.4044643,0.404,-1.317,3.6611,4.958,1.0,8.15,8.704,7.433,nan,2
0.00023458351187800273,13.0,-2.7,0.45357144,0.453,-1.169,3.6745,4.913,1.0,7.753,8.27,7.065,nan,2
0.00020335035672859256,13.0,-2.7,0.50267857,0.503,-1.003,3.6893,4.852,1.0,7.312,7.789,6.658,nan,2
0.0001763114586911437,13.0,-2.7,0.55178577,0.551,-0.798,3.709,4.765,1.0,6.772,7.196,6.164,nan,2
7.973538536145482e-05,13.0,-2.7,0.60089284,0.6,-0.585,3.7344,4.692,1.0,6.221,6.585,5.671,nan,2
1.988315860799402e-05,13.0,-2.7,0.6042636,0.604,-0.57,3.7364,4.687,1.0,6.181,6.541,5.636,nan,2
3.0131465900593353e-05,13.0,-2.7,0.61392784,0.614,-0.525,3.7423,4.672,1.0,6.067,6.414,5.535,nan,2
2.940246882390314e-05,13.0,-2.7,0.62331182,0.623,-0.481,3.7479,4.657,1.0,5.957,6.292,5.438,nan,2
2.8702400744910388e-05,13.0,-2.7,0.63436961,0.634,-0.429,3.7545,4.639,1.0,5.826,6.147,5.322,nan,2
2.8029679571817072e-05,13.0,-2.7,0.64417511,0.644,-0.382,3.7602,4.621,1.0,5.71,6.019,5.219,nan,2
1.3064828702373283e-05,13.0,-2.7,0.64999998,0.65,-0.353,3.7635,4.61,1.0,5.64,5.942,5.157,nan,2
1.791096641095548e-05,13.0,-2.7,0.65371746,0.653,-0.335,3.7655,4.603,1.0,5.595,5.893,5.116,nan,2
