N,age,FeH,Mini,Mf,logL,logT,logg,phase,G_EDR3,GBP_EDR3,GRP_EDR3,age_WD,disk_label
3.821324864479174e-08,9.6375,0.03852951115165981,3.02762,0.758,-4.32436,3.66941,3.19169,10.0,15.56306,16.10076,14.87287,9.25,1
3.7851455951177285e-08,9.6375,0.03852951115165981,3.03867,0.76,-4.32393,3.66997,3.19307,10.0,15.56159,16.09792,14.87251,9.25,1
5.610886414450909e-08,9.6375,0.03852951115165981,3.04972,0.762,-4.32356,3.67052,3.1944,10.0,15.56025,16.09526,14.87226,9.25,1
3.6966937446190896e-08,9.6375,0.03852951115165981,3.06077,0.764,-4.32323,3.67106,3.19569,10.0,15.55903,16.09273,14.87211,9.25,1
3.662092565820928e-08,9.6375,0.03852951115165981,3.07182,0.766,-4.32494,3.6711,3.19499,10.0,15.56315,16.09676,14.87632,9.275,1
3.627926295579079e-08,9.6375,0.03852951115165981,3.08287,0.768,-4.3247,3.67162,3.1962,10.0,15.56215,16.09449,14.87635,9.275,1
3.594188080777554e-08,9.6375,0.03852951115165981,3.09392,0.77,-4.32452,3.67212,3.19735,10.0,15.56131,16.09243,14.87652,9.275,1
5.328942825055985e-08,9.6375,0.03852951115165981,3.10497,0.772,-4.32435,3.67263,3.19849,10.0,15.5605,16.09038,14.87671,9.275,1
3.511671475352339e-08,9.6375,0.03852951115165981,3.11602,0.774,-4.32417,3.67314,3.19965,10.0,15.55965,16.08829,14.87687,9.275,1
3.4793793331946234e-08,9.6375,0.03852951115165981,3.12707,0.776,-4.32399,3.67364,3.2008,10.0,15.55881,16.0862,14.87705,9.275,1
3.4474859717840525e-08,9.6375,0.03852951115165981,3.13812,0.778,-4.32381,3.67416,3.20196,10.0,15.55795,16.0841,14.87721,9.275,1
3.4159852169521794e-08,9.6375,0.03852951115165981,3.14917,0.78,-4.32364,3.67467,3.20313,10.0,15.55711,16.082,14.87739,9.275,1
5.065757852986298e-08,9.6375,0.03852951115165981,3.16022,0.782,-4.32533,3.67473,3.20247,10.0,15.56117,16.08593,14.88157,9.3,1
3.338911494910034e-08,9.6375,0.03852951115165981,3.17127,0.784,-4.32516,3.67524,3.20364,10.0,15.56033,16.08383,14.88175,9.3,1
3.308737876802271e-08,9.6375,0.03852951115165981,3.18232,0.786,-4.32501,3.67575,3.2048,10.0,15.55953,16.08178,14.88198,9.3,1
3.278930466923427e-08,9.6375,0.03852951115165981,3.19337,0.788,-4.3249,3.67626,3.20592,10.0,15.55885,16.07987,14.8823,9.3,1
3.2494836926418035e-08,9.6375,0.03852951115165981,3.20442,0.79,-4.32482,3.67676,3.20702,10.0,15.55823,16.07802,14.88267,9.3,1
4.819788288905859e-08,9.6375,0.03852951115165981,3.21547,0.792,-4.32479,3.67725,3.20807,10.0,15.55773,16.07633,14.88315,9.3,1
3.177408880551844e-08,9.6375,0.03852951115165981,3.22652,0.794,-4.32479,3.67773,3.20911,10.0,15.55729,16.0747,14.88367,9.3,1
3.149181897544639e-08,9.6375,0.03852951115165981,3.23757,0.796,-4.32481,3.67821,3.21011,10.0,15.55692,16.07316,14.88426,9.3,1
3.1212917029205815e-08,9.6375,0.03852951115165981,3.24862,0.798,-4.32649,3.67828,3.20949,10.0,15.56094,16.07701,14.88842,9.325,1
4.630367786865486e-08,9.6375,0.03852951115165981,3.25967,0.8,-4.32655,3.67875,3.21045,10.0,15.56069,16.07561,14.8891,9.325,1
3.0530068225508114e-08,9.6375,0.03852951115165981,3.27072,0.802,-4.32665,3.67921,3.21139,10.0,15.56048,16.07427,14.88982,9.325,1
3.026256298399083e-08,9.6375,0.03852951115165981,3.28177,0.804,-4.32678,3.67967,3.21229,10.0,15.56038,16.07305,14.89063,9.325,1
2.999820589961961e-08,9.6375,0.03852951115165981,3.29282,0.806,-4.32696,3.68011,3.21314,10.0,15.56041,16.07199,14.89154,9.325,1
2.973695051524476e-08,9.6375,0.03852951115165981,3.30387,0.808,-4.32718,3.68054,3.21395,10.0,15.56052,16.07103,14.89253,9.325,1
4.4122244792952595e-08,9.6375,0.03852951115165981,3.31492,0.81,-4.32743,3.68097,3.21473,10.0,15.56072,16.07019,14.89359,9.325,1
2.9097084501379302e-08,9.6375,0.03852951115165981,3.32597,0.812,-4.32772,3.68139,3.21548,10.0,15.56101,16.06945,14.89472,9.325,1
2.8846330953915742e-08,9.6375,0.03852951115165981,3.33702,0.814,-4.32953,3.68144,3.21474,10.0,15.56538,16.0737,14.89917,9.35,1
2.8598479998255443e-08,9.6375,0.03852951115165981,3.34807,0.816,-4.32988,3.68184,3.21541,10.0,15.56584,16.07318,14.90045,9.35,1
