# t[Gyr], SFR_thin.d[Msun/pc^2/Gyr]
1.250000000000000069e-02 2.399317891994237276e-51
3.750000000000000555e-02 4.137461537025278628e-51
6.250000000000001388e-02 7.125678099261352568e-51
8.750000000000000833e-02 1.225644391091705611e-50
1.125000000000000167e-01 2.105468837115432258e-50
1.375000000000000389e-01 3.612261701111643554e-50
1.625000000000000333e-01 6.189501153389160642e-50
1.875000000000000555e-01 3.254843924919749720e-01
2.125000000000000500e-01 5.259498537650137973e-01
2.375000000000000444e-01 6.961684938381358378e-01
2.625000000000000666e-01 8.513623158934540136e-01
2.875000000000000888e-01 9.970202222665979219e-01
3.125000000000000555e-01 1.135777404794634071e+00
3.375000000000000777e-01 1.269097801603821463e+00
3.625000000000000999e-01 1.397872897388969360e+00
3.875000000000000666e-01 1.522682057802002831e+00
4.125000000000000888e-01 1.643921174441414612e+00
4.375000000000001110e-01 1.761872202649098718e+00
4.625000000000000777e-01 1.876743333629318222e+00
4.875000000000000999e-01 1.988693420770536902e+00
5.125000000000000666e-01 2.097847445687721635e+00
5.375000000000000888e-01 2.204306636307905798e+00
5.625000000000001110e-01 2.308155265940544876e+00
5.875000000000000222e-01 2.409465324499481031e+00
6.125000000000000444e-01 2.508299787665593694e+00
6.375000000000000666e-01 2.604714940422701019e+00
6.625000000000000888e-01 2.698762049919913864e+00
6.875000000000001110e-01 2.790488582817086893e+00
7.125000000000001332e-01 2.879939098933620656e+00
7.375000000000000444e-01 2.967155911873033958e+00
7.625000000000000666e-01 3.052179580003000936e+00
7.875000000000000888e-01 3.135049272729847125e+00
8.125000000000001110e-01 3.215803044338861660e+00
8.375000000000001332e-01 3.294478038838919431e+00
8.625000000000001554e-01 3.371110643007614094e+00
8.875000000000001776e-01 3.445736600367462099e+00
9.125000000000000888e-01 3.518391095593396134e+00
9.375000000000001110e-01 3.589108816491565879e+00
9.625000000000001332e-01 3.657923998948915845e+00
9.875000000000001554e-01 3.724870458958917663e+00
1.012500000000000178e+00 3.789981614859176506e+00
1.037500000000000089e+00 3.853290502185044097e+00
1.062500000000000222e+00 3.914829782988154872e+00
1.087500000000000133e+00 3.974631751044751304e+00
1.112500000000000266e+00 4.032728334053386376e+00
1.137500000000000178e+00 4.089151093670919224e+00
1.162500000000000089e+00 4.143931224041581096e+00
1.187500000000000222e+00 4.197099549323345613e+00
1.212500000000000133e+00 4.248686520598539573e+00
1.237500000000000266e+00 4.298722212463997217e+00
1.262500000000000178e+00 4.347236319524636627e+00
1.287500000000000311e+00 4.394258152958181007e+00
1.312500000000000222e+00 4.439816637274987876e+00
1.337500000000000133e+00 4.483940307362647815e+00
1.362500000000000266e+00 4.526657305878065252e+00
1.387500000000000178e+00 4.567995381029012592e+00
1.412500000000000311e+00 4.607981884770661729e+00
1.437500000000000222e+00 4.646643771430159831e+00
1.462500000000000133e+00 4.684007596762667980e+00
1.487500000000000266e+00 4.720099517434791281e+00
1.512500000000000178e+00 4.754945290926005264e+00
1.537500000000000311e+00 4.788570275834385548e+00
1.562500000000000222e+00 4.820999432570216570e+00
1.587500000000000355e+00 4.852257324418911111e+00
1.612500000000000266e+00 4.882368118953326785e+00
1.637500000000000178e+00 4.911355589774987429e+00
1.662500000000000311e+00 4.939243118563116930e+00
1.687500000000000222e+00 4.966053697410613310e+00
1.712500000000000355e+00 4.991809931426259617e+00
1.737500000000000266e+00 5.016534041582929149e+00
1.762500000000000400e+00 5.040247867792169600e+00
1.787500000000000311e+00 5.062972872186169759e+00
1.812500000000000222e+00 5.084730142588997914e+00
1.837500000000000355e+00 5.105540396159711669e+00
1.862500000000000266e+00 5.125423983190818156e+00
1.887500000000000400e+00 5.144400891046502444e+00
1.912500000000000311e+00 5.162490748225673443e+00
1.937500000000000222e+00 5.179712828535988578e+00
1.962500000000000355e+00 5.196086055365629619e+00
1.987500000000000266e+00 5.211629006040477741e+00
2.012500000000000622e+00 5.226359916255195692e+00
2.037500000000000533e+00 5.240296684567267604e+00
2.062500000000000444e+00 5.253456876943960907e+00
2.087500000000000799e+00 5.265857731352733495e+00
2.112500000000000711e+00 5.277516162386311827e+00
2.137500000000000622e+00 5.288448765914267824e+00
2.162500000000000533e+00 5.298671823753458909e+00
2.187500000000000444e+00 5.308201308350383840e+00
2.212500000000000799e+00 5.317052887468834754e+00
2.237500000000000711e+00 5.325241928876879527e+00
2.262500000000000622e+00 5.332783505027621551e+00
2.287500000000000533e+00 5.339692397728543760e+00
2.312500000000000444e+00 5.345983102794818365e+00
2.337500000000000799e+00 5.351669834682167171e+00
2.362500000000000711e+00 5.356766531095332518e+00
2.387500000000000622e+00 5.361286857568551945e+00
2.412500000000000533e+00 5.365244212014657954e+00
2.437500000000000444e+00 5.368651729239876325e+00
2.462500000000000799e+00 5.371522285421485243e+00
2.487500000000000711e+00 5.373868502545907866e+00
2.512500000000000622e+00 5.375702752805006313e+00
2.537500000000000533e+00 5.377037162948500537e+00
2.562500000000000888e+00 5.377883618590804993e+00
2.587500000000000799e+00 5.378253768470583118e+00
2.612500000000000711e+00 5.378159028661646524e+00
2.637500000000000622e+00 5.377610586733946541e+00
2.662500000000000533e+00 5.376619405863508838e+00
2.687500000000000888e+00 5.375196228890479766e+00
2.712500000000000799e+00 5.373351582324322528e+00
2.737500000000000711e+00 5.371095780295609856e+00
2.762500000000000622e+00 5.368438928453775461e+00
