# t[Gyr], sigma_W[km/s]
1.250000000000000069e-02 2.599067948823343599e+01
3.750000000000000555e-02 2.597202173389538871e+01
6.250000000000001388e-02 2.595334161387215133e+01
8.750000000000000833e-02 2.593463905832241778e+01
1.125000000000000167e-01 2.591591399705189858e+01
1.375000000000000389e-01 2.589716635951086232e+01
1.625000000000000333e-01 2.587839607479161685e+01
1.875000000000000555e-01 2.585960307162603655e+01
2.125000000000000500e-01 2.584078727838298661e+01
2.375000000000000444e-01 2.582194862306580063e+01
2.625000000000000666e-01 2.580308703330967290e+01
2.875000000000000888e-01 2.578420243637906495e+01
3.125000000000000555e-01 2.576529475916507650e+01
3.375000000000000777e-01 2.574636392818280228e+01
3.625000000000000999e-01 2.572740986956863551e+01
3.875000000000000666e-01 2.570843250907758915e+01
4.125000000000000888e-01 2.568943177208055317e+01
4.375000000000001110e-01 2.567040758356155905e+01
4.625000000000000777e-01 2.565135986811500501e+01
4.875000000000000999e-01 2.563228854994283168e+01
5.125000000000000666e-01 2.561319355285173316e+01
5.375000000000000888e-01 2.559407480025027581e+01
5.625000000000001110e-01 2.557493221514603832e+01
5.875000000000000222e-01 2.555576572014268422e+01
6.125000000000000444e-01 2.553657523743705582e+01
6.375000000000000666e-01 2.551736068881620412e+01
6.625000000000000888e-01 2.549812199565439741e+01
6.875000000000001110e-01 2.547885907891010504e+01
7.125000000000001332e-01 2.545957185912297049e+01
7.375000000000000444e-01 2.544026025641073119e+01
7.625000000000000666e-01 2.542092419046611340e+01
7.875000000000000888e-01 2.540156358055370234e+01
8.125000000000001110e-01 2.538217834550680507e+01
8.375000000000001332e-01 2.536276840372422825e+01
8.625000000000001554e-01 2.534333367316708774e+01
8.875000000000001776e-01 2.532387407135555790e+01
9.125000000000000888e-01 2.530438951536556402e+01
9.375000000000001110e-01 2.528487992182551025e+01
9.625000000000001332e-01 2.526534520691291164e+01
9.875000000000001554e-01 2.524578528635102614e+01
1.012500000000000178e+00 2.522620007540544762e+01
1.037500000000000089e+00 2.520658948888066675e+01
1.062500000000000222e+00 2.518695344111661072e+01
1.087500000000000133e+00 2.516729184598511182e+01
1.112500000000000266e+00 2.514760461688639026e+01
1.137500000000000178e+00 2.512789166674547303e+01
1.162500000000000089e+00 2.510815290800858435e+01
1.187500000000000222e+00 2.508838825263949701e+01
1.212500000000000133e+00 2.506859761211586957e+01
1.237500000000000266e+00 2.504878089742551950e+01
1.262500000000000178e+00 2.502893801906267157e+01
1.287500000000000311e+00 2.500906888702416708e+01
1.312500000000000222e+00 2.498917341080565890e+01
1.337500000000000133e+00 2.496925149939772481e+01
1.362500000000000266e+00 2.494930306128197728e+01
1.387500000000000178e+00 2.492932800442713059e+01
1.412500000000000311e+00 2.490932623628501119e+01
1.437500000000000222e+00 2.488929766378653596e+01
1.462500000000000133e+00 2.486924219333769059e+01
1.487500000000000266e+00 2.484915973081537643e+01
1.512500000000000178e+00 2.482905018156332133e+01
1.537500000000000311e+00 2.480891345038786611e+01
1.562500000000000222e+00 2.478874944155375815e+01
