# t[Gyr], sigma_W[km/s]
1.587500000000000355e+00 2.476855805877988459e+01
1.612500000000000266e+00 2.474833920523496644e+01
1.637500000000000178e+00 2.472809278353320295e+01
1.662500000000000311e+00 2.470781869572987688e+01
1.687500000000000222e+00 2.468751684331692431e+01
1.712500000000000355e+00 2.466718712721843687e+01
1.737500000000000266e+00 2.464682944778613916e+01
1.762500000000000400e+00 2.462644370479481637e+01
1.787500000000000311e+00 2.460602979743768159e+01
1.812500000000000222e+00 2.458558762432170752e+01
1.837500000000000355e+00 2.456511708346291201e+01
1.862500000000000266e+00 2.454461807228159742e+01
1.887500000000000400e+00 2.452409048759751187e+01
1.912500000000000311e+00 2.450353422562500683e+01
1.937500000000000222e+00 2.448294918196811665e+01
1.962500000000000355e+00 2.446233525161556699e+01
1.987500000000000266e+00 2.444169232893579746e+01
2.012500000000000622e+00 2.442102030767185283e+01
2.037500000000000533e+00 2.440031908093627777e+01
2.062500000000000444e+00 2.437958854120593699e+01
2.087500000000000799e+00 2.435882858031677145e+01
2.112500000000000711e+00 2.433803908945851902e+01
2.137500000000000622e+00 2.431721995916938184e+01
2.162500000000000533e+00 2.429637107933060491e+01
2.187500000000000444e+00 2.427549233916103333e+01
2.212500000000000799e+00 2.425458362721159489e+01
2.237500000000000711e+00 2.423364483135971525e+01
2.262500000000000622e+00 2.421267583880370111e+01
2.287500000000000533e+00 2.419167653605703805e+01
2.312500000000000444e+00 2.417064680894264228e+01
2.337500000000000799e+00 2.414958654258702353e+01
2.362500000000000711e+00 2.412849562141443371e+01
2.387500000000000622e+00 2.410737392914091259e+01
2.412500000000000533e+00 2.408622134876826593e+01
2.437500000000000444e+00 2.406503776257801874e+01
2.462500000000000799e+00 2.404382305212526916e+01
2.487500000000000711e+00 2.402257709823247112e+01
2.512500000000000622e+00 2.400129978098316386e+01
2.537500000000000533e+00 2.397999097971565519e+01
2.562500000000000888e+00 2.395865057301658396e+01
2.587500000000000799e+00 2.393727843871443284e+01
2.612500000000000711e+00 2.391587445387301614e+01
2.637500000000000622e+00 2.389443849478479720e+01
2.662500000000000533e+00 2.387297043696424481e+01
2.687500000000000888e+00 2.385147015514101199e+01
2.712500000000000799e+00 2.382993752325312897e+01
2.737500000000000711e+00 2.380837241444004704e+01
2.762500000000000622e+00 2.378677470103564318e+01
2.787500000000000533e+00 2.376514425456115376e+01
2.812500000000000888e+00 2.374348094571799805e+01
2.837500000000000799e+00 2.372178464438053425e+01
2.862500000000000711e+00 2.370005521958875505e+01
2.887500000000000622e+00 2.367829253954085544e+01
2.912500000000000533e+00 2.365649647158577551e+01
2.937500000000000888e+00 2.363466688221558343e+01
2.962500000000000799e+00 2.361280363705784424e+01
2.987500000000000711e+00 2.359090660086786784e+01
3.012500000000000622e+00 2.356897563752085034e+01
3.037500000000000977e+00 2.354701061000397644e+01
3.062500000000000888e+00 2.352501138040836182e+01
3.087500000000000799e+00 2.350297780992097429e+01
3.112500000000000711e+00 2.348090975881640574e+01
3.137500000000000622e+00 2.345880708644857648e+01
3.162500000000000977e+00 2.343666965124234736e+01
3.187500000000000888e+00 2.341449731068501094e+01
3.212500000000000799e+00 2.339228992131768337e+01
3.237500000000000711e+00 2.337004733872664275e+01
3.262500000000000622e+00 2.334776941753449719e+01
3.287500000000000977e+00 2.332545601139130298e+01
3.312500000000000888e+00 2.330310697296554423e+01
3.337500000000000799e+00 2.328072215393502375e+01
3.362500000000000711e+00 2.325830140497763665e+01
3.387500000000000622e+00 2.323584457576204443e+01
3.412500000000000977e+00 2.321335151493822124e+01
3.437500000000000888e+00 2.319082207012791130e+01
3.462500000000000799e+00 2.316825608791493352e+01
3.487500000000000711e+00 2.314565341383541863e+01
3.512500000000001066e+00 2.312301389236788651e+01
3.537500000000000977e+00 2.310033736692323458e+01
3.562500000000000888e+00 2.307762367983456997e+01
3.587500000000000799e+00 2.305487267234694926e+01
3.612500000000000711e+00 2.303208418460698326e+01
3.637500000000001066e+00 2.300925805565232807e+01
3.662500000000000977e+00 2.298639412340098431e+01
3.687500000000000888e+00 2.296349222464058215e+01
3.712500000000000799e+00 2.294055219501741050e+01
3.737500000000000711e+00 2.291757386902537519e+01
3.762500000000001066e+00 2.289455707999484702e+01
3.787500000000000977e+00 2.287150166008128949e+01
3.812500000000000888e+00 2.284840744025382264e+01
3.837500000000000799e+00 2.282527425028358437e+01
3.862500000000000711e+00 2.280210191873200642e+01
3.887500000000001066e+00 2.277889027293888091e+01
3.912500000000000977e+00 2.275563913901032365e+01
3.937500000000000888e+00 2.273234834180656705e+01
3.962500000000000799e+00 2.270901770492958249e+01
3.987500000000001155e+00 2.268564705071059606e+01
4.012500000000001066e+00 2.266223620019736984e+01
4.037500000000000533e+00 2.263878497314139793e+01
4.062500000000000888e+00 2.261529318798489641e+01
4.087500000000001243e+00 2.259176066184760501e+01
4.112500000000000711e+00 2.256818721051349641e+01
4.137500000000001066e+00 2.254457264841722619e+01
4.162500000000001421e+00 2.252091678863046198e+01
4.187500000000000888e+00 2.249721944284801367e+01
4.212500000000001243e+00 2.247348042137379309e+01
4.237500000000000711e+00 2.244969953310659605e+01
4.262500000000001066e+00 2.242587658552566054e+01
4.287500000000001421e+00 2.240201138467610420e+01
4.312500000000000888e+00 2.237810373515408457e+01
4.337500000000001243e+00 2.235415344009184224e+01
4.362500000000000711e+00 2.233016030114249872e+01
4.387500000000001066e+00 2.230612411846466614e+01
4.412500000000001421e+00 2.228204469070684723e+01
4.437500000000000888e+00 2.225792181499165423e+01
4.462500000000001243e+00 2.223375528689975766e+01
4.487500000000000711e+00 2.220954490045369312e+01
4.512500000000001066e+00 2.218529044810136952e+01
4.537500000000001421e+00 2.216099172069944601e+01
4.562500000000000888e+00 2.213664850749640678e+01
4.587500000000001243e+00 2.211226059611541928e+01
4.612500000000000711e+00 2.208782777253702534e+01
4.637500000000001066e+00 2.206334982108148068e+01
4.662500000000001421e+00 2.203882652439097356e+01
4.687500000000000888e+00 2.201425766341150236e+01
4.712500000000001243e+00 2.198964301737455074e+01
4.737500000000000711e+00 2.196498236377851754e+01
4.762500000000001066e+00 2.194027547836985192e+01
4.787500000000001421e+00 2.191552213512395397e+01
4.812500000000000888e+00 2.189072210622581238e+01
4.837500000000001243e+00 2.186587516205032955e+01
4.862500000000000711e+00 2.184098107114244058e+01
4.887500000000001066e+00 2.181603960019687705e+01
4.912500000000001421e+00 2.179105051403769977e+01
4.937500000000000888e+00 2.176601357559752259e+01
4.962500000000001243e+00 2.174092854589641988e+01
4.987500000000000711e+00 2.171579518402059250e+01
5.012500000000001066e+00 2.169061324710064298e+01
5.037500000000001421e+00 2.166538249028962682e+01
5.062500000000000888e+00 2.164010266674071659e+01
5.087500000000001243e+00 2.161477352758459602e+01
5.112500000000001599e+00 2.158939482190648107e+01
5.137500000000001066e+00 2.156396629672286380e+01
5.162500000000001421e+00 2.153848769695785137e+01
5.187500000000000888e+00 2.151295876541921714e+01
5.212500000000001243e+00 2.148737924277405398e+01
5.237500000000001599e+00 2.146174886752410771e+01
5.262500000000001066e+00 2.143606737598072343e+01
5.287500000000001421e+00 2.141033450223942580e+01
5.312500000000000888e+00 2.138454997815413350e+01
5.337500000000001243e+00 2.135871353331095790e+01
5.362500000000001599e+00 2.133282489500165013e+01
5.387500000000001066e+00 2.130688378819662887e+01
5.412500000000001421e+00 2.128088993551759955e+01
5.437500000000000888e+00 2.125484305720976153e+01
5.462500000000001243e+00 2.122874287111360658e+01
5.487500000000001599e+00 2.120258909263627345e+01
5.512500000000001066e+00 2.117638143472249368e+01
5.537500000000001421e+00 2.115011960782502598e+01
5.562500000000000888e+00 2.112380331987473170e+01
5.587500000000001243e+00 2.109743227625011031e+01
5.612500000000001599e+00 2.107100617974641210e+01
5.637500000000001066e+00 2.104452473054424644e+01
5.662500000000001421e+00 2.101798762617770322e+01
5.687500000000000888e+00 2.099139456150199834e+01
5.712500000000001243e+00 2.096474522866058621e+01
5.737500000000001599e+00 2.093803931705177845e+01
5.762500000000001066e+00 2.091127651329481196e+01
5.787500000000001421e+00 2.088445650119540886e+01
5.812500000000000888e+00 2.085757896171075032e+01
5.837500000000001243e+00 2.083064357291394586e+01
5.862500000000001599e+00 2.080365000995788805e+01
5.887500000000001066e+00 2.077659794503854940e+01
5.912500000000001421e+00 2.074948704735767890e+01
5.937500000000000888e+00 2.072231698308490877e+01
5.962500000000001243e+00 2.069508741531923945e+01
5.987500000000001599e+00 2.066779800404988876e+01
6.012500000000001066e+00 2.064044840611652276e+01
6.037500000000001421e+00 2.061303827516881881e+01
6.062500000000001776e+00 2.058556726162537132e+01
6.087500000000001243e+00 2.055803501263192601e+01
6.112500000000001599e+00 2.053044117201888596e+01
6.137500000000001066e+00 2.050278538025817809e+01
6.162500000000001421e+00 2.047506727441933450e+01
6.187500000000001776e+00 2.044728648812487748e+01
6.212500000000001243e+00 2.041944265150494786e+01
6.237500000000001599e+00 2.039153539115116587e+01
6.262500000000001066e+00 2.036356433006969269e+01
6.287500000000001421e+00 2.033552908763353173e+01
6.312500000000001776e+00 2.030742927953400567e+01
6.337500000000001243e+00 2.027926451773137018e+01
6.362500000000001599e+00 2.025103441040462826e+01
6.387500000000001066e+00 2.022273856190044228e+01
6.412500000000001421e+00 2.019437657268118969e+01
6.437500000000001776e+00 2.016594803927210222e+01
6.462500000000001243e+00 2.013745255420747782e+01
6.487500000000001599e+00 2.010888970597595815e+01
6.512500000000001066e+00 2.008025907896487539e+01
6.537500000000001421e+00 2.005156025340354731e+01
6.562500000000001776e+00 2.002279280530564876e+01
6.587500000000001243e+00 1.999395630641048882e+01
6.612500000000001599e+00 1.996505032412330394e+01
6.637500000000001066e+00 1.993607442145444253e+01
6.662500000000001421e+00 1.990702815695745187e+01
6.687500000000001776e+00 1.987791108466608492e+01
6.712500000000001243e+00 1.984872275403012765e+01
6.737500000000001599e+00 1.981946270985008596e+01
6.762500000000001066e+00 1.979013049221067533e+01
6.787500000000001421e+00 1.976072563641306701e+01
6.812500000000001776e+00 1.973124767290593340e+01
6.837500000000001243e+00 1.970169612721517538e+01
6.862500000000001599e+00 1.967207051987237065e+01
6.887500000000001954e+00 1.964237036634188627e+01
6.912500000000001421e+00 1.961259517694662335e+01
6.937500000000001776e+00 1.958274445679237985e+01
6.962500000000001243e+00 1.955281770569076372e+01
6.987500000000001599e+00 1.952281441808066731e+01
7.012500000000001954e+00 1.949273408294826027e+01
7.037500000000001421e+00 1.946257618374541565e+01
7.062500000000001776e+00 1.943234019830661197e+01
7.087500000000001243e+00 1.940202559876421873e+01
7.112500000000001599e+00 1.937163185146215127e+01
7.137500000000001954e+00 1.934115841686783455e+01
7.162500000000001421e+00 1.931060474948248640e+01
7.187500000000001776e+00 1.927997029774960325e+01
7.212500000000001243e+00 1.924925450396168358e+01
7.237500000000001599e+00 1.921845680416507562e+01
7.262500000000001954e+00 1.918757662806298114e+01
7.287500000000001421e+00 1.915661339891649462e+01
7.312500000000001776e+00 1.912556653344367419e+01
7.337500000000001243e+00 1.909443544171659823e+01
7.362500000000001599e+00 1.906321952705632583e+01
7.387500000000001954e+00 1.903191818592574336e+01
7.412500000000001421e+00 1.900053080782024040e+01
7.437500000000001776e+00 1.896905677515611899e+01
7.462500000000001243e+00 1.893749546315675758e+01
7.487500000000001599e+00 1.890584623973638401e+01
7.512500000000001954e+00 1.887410846538148590e+01
7.537500000000001421e+00 1.884228149302971289e+01
7.562500000000001776e+00 1.881036466794627415e+01
7.587500000000001243e+00 1.877835732759775667e+01
7.612500000000001599e+00 1.874625880152322210e+01
7.637500000000001954e+00 1.871406841120264986e+01
7.662500000000001421e+00 1.868178546992252720e+01
7.687500000000001776e+00 1.864940928263859732e+01
7.712500000000001243e+00 1.861693914583563725e+01
7.737500000000001599e+00 1.858437434738422667e+01
7.762500000000001954e+00 1.855171416639440807e+01
7.787500000000001421e+00 1.851895787306614949e+01
7.812500000000001776e+00 1.848610472853656006e+01
7.837500000000002132e+00 1.845315398472370916e+01
7.862500000000001599e+00 1.842010488416704916e+01
7.887500000000001954e+00 1.838695665986423222e+01
7.912500000000001421e+00 1.835370853510434230e+01
7.937500000000001776e+00 1.832035972329736495e+01
7.962500000000002132e+00 1.828690942779980944e+01
7.987500000000001599e+00 1.825335684173640871e+01
8.012500000000001066e+00 1.821970114781774086e+01
8.037500000000001421e+00 1.818594151815370097e+01
8.062500000000000000e+00 1.815207711406267777e+01
8.087500000000000355e+00 1.811810708587633201e+01
8.112500000000000711e+00 1.808403057273984160e+01
8.137500000000001066e+00 1.804984670240748912e+01
8.162500000000001421e+00 1.801555459103347800e+01
8.187500000000000000e+00 1.798115334295778212e+01
8.212500000000000355e+00 1.794664205048696459e+01
8.237500000000000711e+00 1.791201979366977071e+01
8.262500000000001066e+00 1.787728564006734899e+01
8.287500000000001421e+00 1.784243864451793726e+01
8.312500000000001776e+00 1.780747784889588914e+01
8.337500000000000355e+00 1.777240228186483151e+01
8.362500000000000711e+00 1.773721095862477526e+01
8.387500000000001066e+00 1.770190288065305850e+01
8.412500000000001421e+00 1.766647703543887005e+01
8.437500000000001776e+00 1.763093239621116126e+01
8.462500000000000355e+00 1.759526792165984688e+01
8.487500000000000711e+00 1.755948255564990745e+01
8.512500000000001066e+00 1.752357522692836866e+01
8.537500000000001421e+00 1.748754484882381277e+01
8.562500000000001776e+00 1.745139031893822334e+01
8.587500000000000355e+00 1.741511051883095007e+01
8.612500000000000711e+00 1.737870431369449875e+01
8.637500000000001066e+00 1.734217055202193691e+01
8.662500000000001421e+00 1.730550806526562369e+01
8.687500000000001776e+00 1.726871566748697973e+01
8.712500000000000355e+00 1.723179215499703432e+01
8.737500000000000711e+00 1.719473630598741209e+01
8.762500000000001066e+00 1.715754688015154272e+01
8.787500000000001421e+00 1.712022261829561387e+01
8.812500000000001776e+00 1.708276224193909343e+01
8.837500000000000355e+00 1.704516445290440174e+01
8.862500000000000711e+00 1.700742793289532884e+01
8.887500000000001066e+00 1.696955134306394797e+01
8.912500000000001421e+00 1.693153332356548901e+01
8.937500000000001776e+00 1.689337249310090527e+01
8.962500000000000355e+00 1.685506744844658300e+01
8.987500000000000711e+00 1.681661676397085614e+01
9.012500000000001066e+00 1.677801899113685380e+01
9.037500000000001421e+00 1.673927265799112973e+01
9.062500000000001776e+00 1.670037626863769376e+01
9.087500000000000355e+00 1.666132830269682330e+01
9.112500000000000711e+00 1.662212721474823240e+01
9.137500000000001066e+00 1.658277143375790530e+01
9.162500000000001421e+00 1.654325936248816831e+01
9.187500000000001776e+00 1.650358937689023264e+01
9.212500000000000355e+00 1.646375982547872496e+01
9.237500000000000711e+00 1.642376902868742761e+01
9.262500000000001066e+00 1.638361527820563168e+01
9.287500000000001421e+00 1.634329683629432495e+01
9.312500000000001776e+00 1.630281193508147908e+01
9.337500000000000355e+00 1.626215877583570091e+01
9.362500000000000711e+00 1.622133552821733460e+01
9.387500000000001066e+00 1.618034032950630063e+01
9.412500000000001421e+00 1.613917128380562716e+01
9.437500000000001776e+00 1.609782646121985650e+01
9.462500000000000355e+00 1.605630389700731442e+01
9.487500000000000711e+00 1.601460159070519040e+01
9.512500000000001066e+00 1.597271750522644496e+01
9.537500000000001421e+00 1.593064956592735193e+01
9.562500000000001776e+00 1.588839565964452660e+01
9.587500000000000355e+00 1.584595363370025822e+01
9.612500000000000711e+00 1.580332129487479875e+01
9.637500000000001066e+00 1.576049640834434840e+01
9.662500000000001421e+00 1.571747669658324575e+01
9.687500000000001776e+00 1.567425983822896107e+01
9.712500000000000355e+00 1.563084346690827964e+01
9.737500000000000711e+00 1.558722517002310681e+01
9.762500000000001066e+00 1.554340248749418230e+01
9.787500000000001421e+00 1.549937291046088106e+01
9.812500000000001776e+00 1.545513387993523047e+01
9.837500000000000355e+00 1.541068278540823577e+01
9.862500000000000711e+00 1.536601696340630419e+01
9.887500000000001066e+00 1.532113369599575137e+01
9.912500000000001421e+00 1.527603020923292299e+01
9.937500000000001776e+00 1.523070367155767002e+01
9.962500000000000355e+00 1.518515119212750797e+01
9.987500000000000711e+00 1.513936981908985757e+01
1.001250000000000107e+01 1.509335653778951958e+01
1.003750000000000142e+01 1.504710826890839392e+01
1.006250000000000178e+01 1.500062186653432050e+01
1.008750000000000213e+01 1.495389411615572506e+01
1.011250000000000071e+01 1.490692173257857966e+01
1.013750000000000107e+01 1.485970135776194567e+01
1.016250000000000142e+01 1.481222955856829060e+01
1.018750000000000178e+01 1.476450282442435480e+01
1.021250000000000213e+01 1.471651756488824603e+01
1.023750000000000071e+01 1.466827010711821266e+01
1.026250000000000107e+01 1.461975669323808447e+01
1.028750000000000142e+01 1.457097347759436445e+01
1.031250000000000178e+01 1.452191652389935328e+01
1.033750000000000213e+01 1.447258180225461643e+01
1.036250000000000071e+01 1.442296518604855571e+01
1.038750000000000107e+01 1.437306244872160299e+01
1.041250000000000142e+01 1.432286926039208907e+01
1.043750000000000178e+01 1.427238118433539249e+01
1.046250000000000213e+01 1.422159367330858082e+01
1.048750000000000071e+01 1.417050206571218673e+01
1.051250000000000107e+01 1.411910158158026540e+01
1.053750000000000142e+01 1.406738731838930256e+01
1.056250000000000178e+01 1.401535424667591379e+01
1.058750000000000213e+01 1.396299720545263412e+01
1.061250000000000071e+01 1.391031089741034776e+01
1.063750000000000107e+01 1.385728988389517369e+01
1.066250000000000142e+01 1.380392857964677944e+01
1.068750000000000178e+01 1.375022124728419826e+01
1.071250000000000213e+01 1.369616199152424052e+01
1.073750000000000071e+01 1.364174475311658341e+01
1.076250000000000107e+01 1.358696330247845907e+01
1.078750000000000142e+01 1.353181123301066080e+01
1.081250000000000178e+01 1.347628195407523499e+01
1.083750000000000213e+01 1.342036868361381607e+01
1.086250000000000071e+01 1.336406444038397545e+01
1.088750000000000107e+01 1.330736203578925370e+01
1.091250000000000142e+01 1.325025406527680438e+01
1.093750000000000178e+01 1.319273289927435044e+01
1.096250000000000213e+01 1.313479067363624786e+01
1.098750000000000071e+01 1.307641927956579408e+01
1.101250000000000107e+01 1.301761035297856850e+01
1.103750000000000142e+01 1.295835526326854925e+01
1.106250000000000178e+01 1.289864510143576126e+01
1.108750000000000213e+01 1.283847066753076049e+01
1.111250000000000071e+01 1.277782245736755584e+01
1.113750000000000107e+01 1.271669064845241870e+01
1.116250000000000142e+01 1.265506508507166750e+01
1.118750000000000178e+01 1.259293526247637196e+01
1.121250000000000213e+01 1.253029031009668159e+01
1.123750000000000071e+01 1.246711897371230293e+01
1.126250000000000107e+01 1.240340959649917707e+01
1.128750000000000142e+01 1.233915009886496961e+01
1.131250000000000178e+01 1.227432795697792045e+01
1.133750000000000213e+01 1.220893017988462326e+01
1.136250000000000071e+01 1.214294328510232823e+01
1.138750000000000107e+01 1.207635327256023494e+01
1.141250000000000142e+01 1.200914559675198845e+01
1.143750000000000178e+01 1.194130513694771700e+01
1.146250000000000213e+01 1.187281616529868877e+01
1.148750000000000071e+01 1.180366231265041677e+01
1.151250000000000107e+01 1.173382653186081370e+01
1.153750000000000142e+01 1.166329105839843727e+01
1.156250000000000178e+01 1.159203736797143236e+01
1.158750000000000213e+01 1.152004613091062346e+01
1.161250000000000071e+01 1.144729716299915445e+01
1.163750000000000107e+01 1.137376937240628827e+01
1.166250000000000142e+01 1.129944070234341069e+01
1.168750000000000178e+01 1.122428806901529441e+01
1.171250000000000213e+01 1.114828729438879407e+01
1.173750000000000071e+01 1.107141303324269188e+01
1.176250000000000107e+01 1.099363869389601334e+01
1.178750000000000142e+01 1.091493635193582712e+01
1.181250000000000178e+01 1.083527665617793190e+01
1.183750000000000213e+01 1.075462872599305975e+01
1.186250000000000071e+01 1.067296003901481249e+01
1.188750000000000107e+01 1.059023630811076444e+01
1.191250000000000142e+01 1.050642134634177793e+01
1.193750000000000178e+01 1.042147691845231527e+01
1.196250000000000213e+01 1.033536257722180096e+01
1.198750000000000249e+01 1.024803548275770204e+01
1.201250000000000107e+01 1.015945020251774977e+01
1.203750000000000142e+01 1.006955848950271637e+01
1.206250000000000178e+01 9.978309035651475867e+00
1.208750000000000213e+01 9.885647196982663587e+00
1.211250000000000249e+01 9.791514686445891513e+00
1.213750000000000107e+01 9.695849229748166209e+00
1.216250000000000142e+01 9.598584178581626603e+00
1.218750000000000178e+01 9.499648074663385344e+00
1.221250000000000213e+01 9.398964156763456756e+00
1.223750000000000249e+01 9.296449801388433798e+00
1.226250000000000107e+01 9.192015885935205688e+00
1.228750000000000142e+01 9.085566060838795366e+00
1.231250000000000178e+01 8.976995914391634912e+00
1.233750000000000213e+01 8.866192010349161379e+00
1.236250000000000249e+01 8.753030773949378229e+00
1.238750000000000107e+01 8.637377196279674152e+00
1.241250000000000142e+01 8.519083319642382079e+00
1.243750000000000178e+01 8.397986457182069486e+00
1.246250000000000213e+01 8.273907087824278861e+00
1.248750000000000249e+01 8.146646351538411324e+00
1.251250000000000107e+01 8.015983048662013388e+00
1.253750000000000142e+01 7.881670018488911467e+00
1.256250000000000178e+01 7.743429733595122322e+00
1.258750000000000213e+01 7.600948893130778927e+00
1.261250000000000249e+01 7.453871724069414562e+00
1.263750000000000107e+01 7.301791594301644039e+00
1.266250000000000142e+01 7.144240390129024121e+00
1.268750000000000178e+01 6.980674888739162753e+00
1.271250000000000213e+01 6.810459023870064854e+00
1.273750000000000249e+01 6.632840433625094789e+00
1.276250000000000107e+01 6.446918878748171267e+00
1.278750000000000142e+01 6.251602823539400333e+00
1.281250000000000178e+01 6.045548302180828060e+00
1.283750000000000213e+01 5.827070419719571071e+00
1.286250000000000249e+01 5.594010971649669095e+00
1.288750000000000107e+01 5.343532493330664046e+00
1.291250000000000142e+01 5.071782102018481453e+00
1.293750000000000178e+01 4.773308831207637049e+00
1.296250000000000213e+01 4.439972139494259729e+00
1.298750000000000249e+01 4.058671362586979470e+00
