# t[Gyr], h[pc]_thin.d
1.250000000000000069e-02 6.012513250754350338e+02
3.750000000000000555e-02 6.007137201142273852e+02
6.250000000000001388e-02 6.001755475533751678e+02
8.750000000000000833e-02 5.996368060604006587e+02
1.125000000000000167e-01 5.990974942963570129e+02
1.375000000000000389e-01 5.985576109157791507e+02
1.625000000000000333e-01 5.980171545666335078e+02
1.875000000000000555e-01 5.974761238902716514e+02
2.125000000000000500e-01 5.969345175213768471e+02
2.375000000000000444e-01 5.963923340879164243e+02
2.625000000000000666e-01 5.958495722110891393e+02
2.875000000000000888e-01 5.953062305052743568e+02
3.125000000000000555e-01 5.947623075779807778e+02
3.375000000000000777e-01 5.942178020297931198e+02
3.625000000000000999e-01 5.936727124543200489e+02
3.875000000000000666e-01 5.931270374381404054e+02
4.125000000000000888e-01 5.925807755607493164e+02
4.375000000000001110e-01 5.920339253945040809e+02
4.625000000000000777e-01 5.914864855045696004e+02
4.875000000000000999e-01 5.909384544488619895e+02
5.125000000000000666e-01 5.903898307779937795e+02
5.375000000000000888e-01 5.898406130352163927e+02
5.625000000000001110e-01 5.892907997563642084e+02
5.875000000000000222e-01 5.887403894697957867e+02
6.125000000000000444e-01 5.881893806963369116e+02
6.375000000000000666e-01 5.876377719492209053e+02
6.625000000000000888e-01 5.870855617340306480e+02
6.875000000000001110e-01 5.865327485486368460e+02
7.125000000000001332e-01 5.859793308831398235e+02
7.375000000000000444e-01 5.854253072198067684e+02
7.625000000000000666e-01 5.848706760330112502e+02
7.875000000000000888e-01 5.843154357891705786e+02
8.125000000000001110e-01 5.837595849466827076e+02
8.375000000000001332e-01 5.832031219558634803e+02
8.625000000000001554e-01 5.826460452588825092e+02
8.875000000000001776e-01 5.820883532896983752e+02
9.125000000000000888e-01 5.815300444739925751e+02
9.375000000000001110e-01 5.809711172291050616e+02
9.625000000000001332e-01 5.804115699639669401e+02
9.875000000000001554e-01 5.798514010790329394e+02
1.012500000000000178e+00 5.792906089662137674e+02
1.037500000000000089e+00 5.787291920088076722e+02
1.062500000000000222e+00 5.781671485814313201e+02
1.087500000000000133e+00 5.776044770499493097e+02
1.112500000000000266e+00 5.770411757714041414e+02
1.137500000000000178e+00 5.764772430939442529e+02
1.162500000000000089e+00 5.759126773567525106e+02
1.187500000000000222e+00 5.753474768899733363e+02
1.212500000000000133e+00 5.747816400146390379e+02
1.237500000000000266e+00 5.742151650425955722e+02
1.262500000000000178e+00 5.736480502764279663e+02
1.287500000000000311e+00 5.730802940093834650e+02
1.312500000000000222e+00 5.725118945252967251e+02
1.337500000000000133e+00 5.719428500985111441e+02
1.362500000000000266e+00 5.713731589938015532e+02
1.387500000000000178e+00 5.708028194662949772e+02
1.412500000000000311e+00 5.702318297613908271e+02
1.437500000000000222e+00 5.696601881146814321e+02
1.462500000000000133e+00 5.690878927518695036e+02
1.487500000000000266e+00 5.685149418886868489e+02
1.512500000000000178e+00 5.679413337308112659e+02
1.537500000000000311e+00 5.673670664737826428e+02
1.562500000000000222e+00 5.667921383029180333e+02
1.587500000000000355e+00 5.662165473932266195e+02
1.612500000000000266e+00 5.656402919093236505e+02
1.637500000000000178e+00 5.650633700053419943e+02
1.662500000000000311e+00 5.644857798248445988e+02
1.687500000000000222e+00 5.639075195007361572e+02
1.712500000000000355e+00 5.633285871551714763e+02
1.737500000000000266e+00 5.627489808994654368e+02
1.762500000000000400e+00 5.621686988340015887e+02
1.787500000000000311e+00 5.615877390481383600e+02
1.812500000000000222e+00 5.610060996201156058e+02
1.837500000000000355e+00 5.604237786169596802e+02
1.862500000000000266e+00 5.598407740943879389e+02
1.887500000000000400e+00 5.592570840967116510e+02
1.912500000000000311e+00 5.586727066567380007e+02
1.937500000000000222e+00 5.580876397956722030e+02
1.962500000000000355e+00 5.575018815230158680e+02
1.987500000000000266e+00 5.569154298364678652e+02
2.012500000000000622e+00 5.563282827218213242e+02
2.037500000000000533e+00 5.557404381528607473e+02
2.062500000000000444e+00 5.551518940912576454e+02
2.087500000000000799e+00 5.545626484864654913e+02
2.112500000000000711e+00 5.539726992756129675e+02
2.137500000000000622e+00 5.533820443833972149e+02
2.162500000000000533e+00 5.527906817219740105e+02
2.187500000000000444e+00 5.521986091908485150e+02
2.212500000000000799e+00 5.516058246767643141e+02
2.237500000000000711e+00 5.510123260535907548e+02
2.262500000000000622e+00 5.504181111822099410e+02
2.287500000000000533e+00 5.498231779104016823e+02
2.312500000000000444e+00 5.492275240727276469e+02
2.337500000000000799e+00 5.486311474904143779e+02
2.362500000000000711e+00 5.480340459712346046e+02
2.387500000000000622e+00 5.474362173093877573e+02
2.412500000000000533e+00 5.468376592853784359e+02
2.437500000000000444e+00 5.462383696658947656e+02
2.462500000000000799e+00 5.456383462036841365e+02
2.487500000000000711e+00 5.450375866374282623e+02
2.512500000000000622e+00 5.444360886916166464e+02
2.537500000000000533e+00 5.438338500764191394e+02
2.562500000000000888e+00 5.432308684875566769e+02
2.587500000000000799e+00 5.426271416061696300e+02
2.612500000000000711e+00 5.420226670986872932e+02
2.637500000000000622e+00 5.414174426166927105e+02
2.662500000000000533e+00 5.408114657967894345e+02
2.687500000000000888e+00 5.402047342604624873e+02
2.712500000000000799e+00 5.395972456139428459e+02
2.737500000000000711e+00 5.389889974480664705e+02
2.762500000000000622e+00 5.383799873381328780e+02
2.787500000000000533e+00 5.377702128437629199e+02
2.812500000000000888e+00 5.371596715087548546e+02
2.837500000000000799e+00 5.365483608609366684e+02
2.862500000000000711e+00 5.359362784120206697e+02
2.887500000000000622e+00 5.353234216574521724e+02
2.912500000000000533e+00 5.347097880762596560e+02
2.937500000000000888e+00 5.340953751309016297e+02
2.962500000000000799e+00 5.334801802671117912e+02
2.987500000000000711e+00 5.328642009137439572e+02
3.012500000000000622e+00 5.322474344826123343e+02
3.037500000000000977e+00 5.316298783683337206e+02
3.062500000000000888e+00 5.310115299481636839e+02
3.087500000000000799e+00 5.303923865818344439e+02
3.112500000000000711e+00 5.297724456113892302e+02
3.137500000000000622e+00 5.291517043610148221e+02
3.162500000000000977e+00 5.285301601368718138e+02
3.187500000000000888e+00 5.279078102269247665e+02
3.212500000000000799e+00 5.272846519007667894e+02
3.237500000000000711e+00 5.266606824094466219e+02
3.262500000000000622e+00 5.260358989852899185e+02
3.287500000000000977e+00 5.254102988417201914e+02
3.312500000000000888e+00 5.247838791730777075e+02
3.337500000000000799e+00 5.241566371544354297e+02
3.362500000000000711e+00 5.235285699414131386e+02
3.387500000000000622e+00 5.228996746699905316e+02
3.412500000000000977e+00 5.222699484563156602e+02
