# t[Gyr], SFR_thin.d/<SFR_thin.d>
1.250000000000000069e-02 1.449569389101686362e-03
3.750000000000000555e-02 8.257771955823908425e-03
6.250000000000001388e-02 1.836857639785213075e-02
8.750000000000000833e-02 3.091431007965184108e-02
1.125000000000000167e-01 4.540402409387783028e-02
1.375000000000000389e-01 6.149821933532272078e-02
1.625000000000000333e-01 7.893973226103215279e-02
1.875000000000000555e-01 9.752328354335199068e-02
2.125000000000000500e-01 1.170793803824686785e-01
2.375000000000000444e-01 1.374647731146910190e-01
2.625000000000000666e-01 1.585563267682163213e-01
2.875000000000000888e-01 1.802468452802694632e-01
3.125000000000000555e-01 2.024420927784751079e-01
3.375000000000000777e-01 2.250585897187900031e-01
3.625000000000000999e-01 2.480219330192379723e-01
3.875000000000000666e-01 2.712654835497527173e-01
4.125000000000000888e-01 2.947293190709502353e-01
4.375000000000001110e-01 3.183593839896469158e-01
4.625000000000000777e-01 3.421067883219160999e-01
4.875000000000000999e-01 3.659272219817941707e-01
5.125000000000000666e-01 3.897804597372136470e-01
5.375000000000000888e-01 4.136299385292503406e-01
5.625000000000001110e-01 4.374423933268035136e-01
5.875000000000000222e-01 4.611875409045101959e-01
6.125000000000000444e-01 4.848378032831796025e-01
6.375000000000000666e-01 5.083680643192928228e-01
6.625000000000000888e-01 5.317554542473298396e-01
6.875000000000001110e-01 5.549791579849597811e-01
7.125000000000001332e-01 5.780202437891979184e-01
7.375000000000000444e-01 6.008615094600024964e-01
7.625000000000000666e-01 6.234873437683779995e-01
7.875000000000000888e-01 6.458836011693079859e-01
8.125000000000001110e-01 6.680374881682451527e-01
8.375000000000001332e-01 6.899374599600394120e-01
8.625000000000001554e-01 7.115731261637010530e-01
8.875000000000001776e-01 7.329351646447989088e-01
9.125000000000000888e-01 7.540152425568633632e-01
9.375000000000001110e-01 7.748059438496347484e-01
9.625000000000001332e-01 7.953007025897155247e-01
9.875000000000001554e-01 8.154937415216459984e-01
1.012500000000000178e+00 8.353800153674310058e-01
1.037500000000000089e+00 8.549551584221628531e-01
1.062500000000000222e+00 8.742154360545446590e-01
1.087500000000000133e+00 8.931576997650881866e-01
1.112500000000000266e+00 9.117793454927943797e-01
1.137500000000000178e+00 9.300782748941130995e-01
1.162500000000000089e+00 9.480528593467290044e-01
1.187500000000000222e+00 9.657019064558421961e-01
1.212500000000000133e+00 9.830246288626852680e-01
1.237500000000000266e+00 1.000020615174403549e+00
1.262500000000000178e+00 1.016689802851598934e+00
1.287500000000000311e+00 1.033032452904991016e+00
1.312500000000000222e+00 1.049049126266162979e+00
1.337500000000000133e+00 1.064740661709377534e+00
1.362500000000000266e+00 1.080108155212148757e+00
1.387500000000000178e+00 1.095152940651921147e+00
1.412500000000000311e+00 1.109876571744776053e+00
1.437500000000000222e+00 1.124280805139875383e+00
1.462500000000000133e+00 1.138367584590354031e+00
1.487500000000000266e+00 1.152139026127661170e+00
1.512500000000000178e+00 1.165597404172113993e+00
1.537500000000000311e+00 1.178745138517583113e+00
1.562500000000000222e+00 1.191584782132957265e+00
1.587500000000000355e+00 1.204119009727339984e+00
1.612500000000000266e+00 1.216350607029817343e+00
1.637500000000000178e+00 1.228282460738259863e+00
1.662500000000000311e+00 1.239917549094822435e+00
1.687500000000000222e+00 1.251258933048877919e+00
1.712500000000000355e+00 1.262309747970814522e+00
1.737500000000000266e+00 1.273073195882677533e+00
1.762500000000000400e+00 1.283552538173967417e+00
1.787500000000000311e+00 1.293751088773011704e+00
1.812500000000000222e+00 1.303672207746344514e+00
1.837500000000000355e+00 1.313319295300324097e+00
1.862500000000000266e+00 1.322695786160902109e+00
1.887500000000000400e+00 1.331805144309050615e+00
1.912500000000000311e+00 1.340650858050732364e+00
1.937500000000000222e+00 1.349236435401715228e+00
1.962500000000000355e+00 1.357565399768718040e+00
1.987500000000000266e+00 1.365641285909540592e+00
2.012500000000000622e+00 1.373467636155944360e+00
2.037500000000000533e+00 1.381047996883977058e+00
2.062500000000000444e+00 1.388385915217432931e+00
2.087500000000000799e+00 1.395484935950966010e+00
2.112500000000000711e+00 1.402348598680197345e+00
2.137500000000000622e+00 1.408980435126916841e+00
2.162500000000000533e+00 1.415383966648166014e+00
2.187500000000000444e+00 1.421562701918680283e+00
2.212500000000000799e+00 1.427520134776742555e+00
2.237500000000000711e+00 1.433259742224119559e+00
2.262500000000000622e+00 1.438784982571267745e+00
2.287500000000000533e+00 1.444099293719498522e+00
2.312500000000000444e+00 1.449206091572304400e+00
2.337500000000000799e+00 1.454108768568431298e+00
2.362500000000000711e+00 1.458810692329761016e+00
2.387500000000000622e+00 1.463315204417429571e+00
2.412500000000000533e+00 1.467625619189964370e+00
2.437500000000000444e+00 1.471745222757623095e+00
2.462500000000000799e+00 1.475677272027364095e+00
2.487500000000000711e+00 1.479424993833263313e+00
2.512500000000000622e+00 1.482991584147423714e+00
2.537500000000000533e+00 1.486380207366726491e+00
2.562500000000000888e+00 1.489593995671030902e+00
2.587500000000000799e+00 1.492636048448633401e+00
2.612500000000000711e+00 1.495509431785080778e+00
2.637500000000000622e+00 1.498217178011600481e+00
2.662500000000000533e+00 1.500762285309626298e+00
2.687500000000000888e+00 1.503147717368118252e+00
2.712500000000000799e+00 1.505376403090497250e+00
2.737500000000000711e+00 1.507451236348236190e+00
2.762500000000000622e+00 1.509375075778297992e+00
2.787500000000000533e+00 1.511150744621733155e+00
2.812500000000000888e+00 1.512781030600945265e+00
2.837500000000000799e+00 1.514268685833216610e+00
2.862500000000000711e+00 1.515616426778249703e+00
2.887500000000000622e+00 1.516826934217583744e+00
2.912500000000000533e+00 1.517902853263866758e+00
2.937500000000000888e+00 1.518846793398077599e+00
2.962500000000000799e+00 1.519661328532873723e+00
2.987500000000000711e+00 1.520348997100365418e+00
3.012500000000000622e+00 1.520912302162694463e+00
3.037500000000000977e+00 1.521353711543870890e+00
3.062500000000000888e+00 1.521675657981441665e+00
3.087500000000000799e+00 1.521880539296588175e+00
3.112500000000000711e+00 1.521970718581382664e+00
3.137500000000000622e+00 1.521948524401951497e+00
3.162500000000000977e+00 1.521816251016393950e+00
3.187500000000000888e+00 1.521576158606365414e+00
3.212500000000000799e+00 1.521230473521265614e+00
3.237500000000000711e+00 1.520781388534061751e+00
3.262500000000000622e+00 1.520231063107816860e+00
3.287500000000000977e+00 1.519581623672036974e+00
3.312500000000000888e+00 1.518835163908018426e+00
3.337500000000000799e+00 1.517993745042397036e+00
3.362500000000000711e+00 1.517059396148169315e+00
3.387500000000000622e+00 1.516034114452478043e+00
3.412500000000000977e+00 1.514919865650496522e+00
3.437500000000000888e+00 1.513718584224809982e+00
3.462500000000000799e+00 1.512432173769673094e+00
3.487500000000000711e+00 1.511062507319609782e+00
3.512500000000001066e+00 1.509611427681824658e+00
