# t[Gyr], SFR_tot[Msun/pc^2/Gyr]
1.250000000000000069e-02 1.388148233399692844e+00
3.750000000000000555e-02 1.920265391496739582e+00
6.250000000000001388e-02 2.482618925036340851e+00
8.750000000000000833e-02 3.055933294008173373e+00
1.125000000000000167e-01 3.625581052250471004e+00
1.375000000000000389e-01 4.180326270547070067e+00
1.625000000000000333e-01 4.711644109896250932e+00
1.875000000000000555e-01 5.213227050992421674e+00
2.125000000000000500e-01 5.680591449613054067e+00
2.375000000000000444e-01 6.110752489608178628e+00
2.625000000000000666e-01 6.501951484747826804e+00
2.875000000000000888e-01 6.853425602068916156e+00
3.125000000000000555e-01 7.165212978166643154e+00
3.375000000000000777e-01 7.437987820446297249e+00
3.625000000000000999e-01 7.672921120041826804e+00
3.875000000000000666e-01 7.871563333804369123e+00
4.125000000000000888e-01 8.035745947351566443e+00
4.375000000000001110e-01 8.167499273337265109e+00
4.625000000000000777e-01 8.268984203372648167e+00
4.875000000000000999e-01 8.342435938651711069e+00
5.125000000000000666e-01 8.390117986093624580e+00
5.375000000000000888e-01 8.414284932349566759e+00
5.625000000000001110e-01 8.417152703525353274e+00
5.875000000000000222e-01 8.400875188610271493e+00
6.125000000000000444e-01 8.367526253038201745e+00
6.375000000000000666e-01 8.319086298503551191e+00
6.625000000000000888e-01 8.257432638568394268e+00
6.875000000000001110e-01 8.184333058801875893e+00
7.125000000000001332e-01 8.101442016959921943e+00
7.375000000000000444e-01 8.010299014572188625e+00
7.625000000000000666e-01 7.912328737582148719e+00
7.875000000000000888e-01 7.808842621545709406e+00
8.125000000000001110e-01 7.701041547351042738e+00
8.375000000000001332e-01 7.590019417370106325e+00
8.625000000000001554e-01 7.476767400178529144e+00
8.875000000000001776e-01 7.362178665177346204e+00
9.125000000000000888e-01 7.247053457229998052e+00
9.375000000000001110e-01 7.132104386330719414e+00
9.625000000000001332e-01 7.017961828822388171e+00
9.875000000000001554e-01 6.905179355203999059e+00
1.012500000000000178e+00 6.794239115481861546e+00
1.037500000000000089e+00 6.685557126651270110e+00
1.062500000000000222e+00 6.579488418537156491e+00
1.087500000000000133e+00 6.476332004126583719e+00
1.112500000000000266e+00 6.376335648918547427e+00
1.137500000000000178e+00 6.279700420894453572e+00
1.162500000000000089e+00 6.186585008649969630e+00
1.187500000000000222e+00 6.097109800178712291e+00
1.212500000000000133e+00 6.011360718894497523e+00
1.237500000000000266e+00 5.929392816839389013e+00
1.262500000000000178e+00 5.851233627753101629e+00
1.287500000000000311e+00 5.776886284865034860e+00
1.312500000000000222e+00 5.706332409993157384e+00
1.337500000000000133e+00 5.639534781862316493e+00
1.362500000000000266e+00 5.576439792548521623e+00
1.387500000000000178e+00 5.516979701667977132e+00
1.412500000000000311e+00 5.461074698404633665e+00
1.437500000000000222e+00 5.408634781748039799e+00
1.462500000000000133e+00 5.359561469427534419e+00
1.487500000000000266e+00 5.313749346008997954e+00
1.512500000000000178e+00 5.271087460491730603e+00
1.537500000000000311e+00 5.231460583526885699e+00
1.562500000000000222e+00 5.194750334094145217e+00
1.587500000000000355e+00 5.160836185135502241e+00
1.612500000000000266e+00 5.129596357267441675e+00
1.637500000000000178e+00 5.100908609287108320e+00
1.662500000000000311e+00 5.074650933763177996e+00
1.687500000000000222e+00 5.050702165566678836e+00
1.712500000000000355e+00 5.028942510756895246e+00
1.737500000000000266e+00 5.009254002798541272e+00
1.762500000000000400e+00 4.991520892652868469e+00
1.787500000000000311e+00 4.975629978860614422e+00
1.812500000000000222e+00 4.961470883321927872e+00
1.837500000000000355e+00 4.948936278079278495e+00
1.862500000000000266e+00 4.937922068025755173e+00
1.887500000000000400e+00 4.928327534094340656e+00
1.912500000000000311e+00 4.920055441134016938e+00
1.937500000000000222e+00 4.913012114347093728e+00
1.962500000000000355e+00 4.907107487848385574e+00
1.987500000000000266e+00 4.902255128611304968e+00
2.012500000000000622e+00 4.898372238788271993e+00
2.037500000000000533e+00 4.895379639132330318e+00
2.062500000000000444e+00 4.893201736003768509e+00
2.087500000000000799e+00 4.891766474218581351e+00
2.112500000000000711e+00 4.891005277784634231e+00
2.137500000000000622e+00 4.890852980375600012e+00
2.162500000000000533e+00 4.891247747211298957e+00
2.187500000000000444e+00 4.892130989845592026e+00
2.212500000000000799e+00 4.893447275208247405e+00
2.237500000000000711e+00 4.895144230105085370e+00
2.262500000000000622e+00 4.897172442249917879e+00
2.287500000000000533e+00 4.899485358781973332e+00
2.312500000000000444e+00 4.902039183112971266e+00
2.337500000000000799e+00 4.904792770847721251e+00
2.362500000000000711e+00 4.907707525431010076e+00
2.387500000000000622e+00 4.910747294090497483e+00
2.412500000000000533e+00 4.913878264569930820e+00
2.437500000000000444e+00 4.917068863078933205e+00
2.462500000000000799e+00 4.920289653823687992e+00
2.487500000000000711e+00 4.923513240427481286e+00
2.512500000000000622e+00 4.926714169499858187e+00
2.537500000000000533e+00 4.929868836568353174e+00
2.562500000000000888e+00 4.932955394546583605e+00
