# t[Gyr], SFR_tot/<SFR_tot>
1.250000000000000069e-02 3.632960480504415779e-01
3.750000000000000555e-02 5.025578761356466195e-01
6.250000000000001388e-02 6.497329482400058254e-01
8.750000000000000833e-02 7.997766103839952789e-01
1.125000000000000167e-01 9.488606738657316964e-01
1.375000000000000389e-01 1.094044553103508344e+00
1.625000000000000333e-01 1.233097189306142649e+00
1.875000000000000555e-01 1.364367824448238675e+00
2.125000000000000500e-01 1.486683031810865030e+00
2.375000000000000444e-01 1.599261647044746715e+00
2.625000000000000666e-01 1.701643399595388795e+00
2.875000000000000888e-01 1.793628646374147539e+00
3.125000000000000555e-01 1.875227368213032486e+00
3.375000000000000777e-01 1.946616013765014586e+00
3.625000000000000999e-01 2.008101046303273129e+00
3.875000000000000666e-01 2.060088240105466983e+00
4.125000000000000888e-01 2.103056918251755114e+00
4.375000000000001110e-01 2.137538439386482025e+00
4.625000000000000777e-01 2.164098336327916705e+00
4.875000000000000999e-01 2.183321589657265971e+00
5.125000000000000666e-01 2.195800587924026104e+00
5.375000000000000888e-01 2.202125385130105695e+00
5.625000000000001110e-01 2.202875917320983312e+00
5.875000000000000222e-01 2.198615884639712359e+00
6.125000000000000444e-01 2.189888044047105353e+00
6.375000000000000666e-01 2.177210691854621682e+00
6.625000000000000888e-01 2.161075144898348732e+00
6.875000000000001110e-01 2.141944055145574843e+00
7.125000000000001332e-01 2.120250415233492891e+00
7.375000000000000444e-01 2.096397132292792787e+00
7.625000000000000666e-01 2.070757064754962240e+00
7.875000000000000888e-01 2.043673431984669442e+00
8.125000000000001110e-01 2.015460519783931481e+00
8.375000000000001332e-01 1.986404616316449934e+00
8.625000000000001554e-01 1.956765123004791551e+00
8.875000000000001776e-01 1.926775793641114953e+00
9.125000000000000888e-01 1.896646062484216078e+00
9.375000000000001110e-01 1.866562428633022241e+00
9.625000000000001332e-01 1.836689869593999935e+00
9.875000000000001554e-01 1.807173261807404563e+00
1.012500000000000178e+00 1.778138790062183894e+00
1.037500000000000089e+00 1.749695331297180800e+00
1.062500000000000222e+00 1.721935801333079441e+00
1.087500000000000133e+00 1.694938455671635147e+00
1.112500000000000266e+00 1.668768137695177511e+00
1.137500000000000178e+00 1.643477469451753770e+00
1.162500000000000089e+00 1.619107981765154136e+00
1.187500000000000222e+00 1.595691181704480988e+00
1.212500000000000133e+00 1.573249556519959791e+00
1.237500000000000266e+00 1.551797514031185932e+00
1.262500000000000178e+00 1.531342260168034874e+00
1.287500000000000311e+00 1.511884614936490845e+00
1.312500000000000222e+00 1.493419768532570746e+00
1.337500000000000133e+00 1.475937979675162603e+00
1.362500000000000266e+00 1.459425218488737741e+00
1.387500000000000178e+00 1.443863756453291014e+00
1.412500000000000311e+00 1.429232706063176206e+00
1.437500000000000222e+00 1.415508512909267047e+00
1.462500000000000133e+00 1.402665402928770177e+00
1.487500000000000266e+00 1.390675787561834742e+00
1.512500000000000178e+00 1.379510629520430465e+00
1.537500000000000311e+00 1.369139771818402851e+00
1.562500000000000222e+00 1.359532232637088001e+00
1.587500000000000355e+00 1.350656468512464237e+00
1.612500000000000266e+00 1.342480608230996131e+00
1.637500000000000178e+00 1.334972659715154109e+00
1.662500000000000311e+00 1.328100692068390432e+00
1.687500000000000222e+00 1.321832994835396846e+00
1.712500000000000355e+00 1.316138216418270890e+00
1.737500000000000266e+00 1.310985483474353286e+00
1.762500000000000400e+00 1.306344503008032065e+00
1.787500000000000311e+00 1.302185648757649084e+00
1.812500000000000222e+00 1.298480033370612352e+00
1.837500000000000355e+00 1.295199567755370262e+00
1.862500000000000266e+00 1.292317008898494768e+00
1.887500000000000400e+00 1.289805997339136923e+00
1.912500000000000311e+00 1.287641085401575625e+00
1.937500000000000222e+00 1.285797757199838687e+00
1.962500000000000355e+00 1.284252441346256601e+00
1.987500000000000266e+00 1.282982517218460128e+00
2.012500000000000622e+00 1.281966315566660741e+00
2.037500000000000533e+00 1.281183114174876847e+00
2.062500000000000444e+00 1.280613129226147562e+00
2.087500000000000799e+00 1.280237502962373597e+00
2.112500000000000711e+00 1.280038288174219607e+00
2.137500000000000622e+00 1.279998430005258037e+00
2.162500000000000533e+00 1.280101745507061128e+00
2.187500000000000444e+00 1.280332901338108398e+00
2.212500000000000799e+00 1.280677389958886581e+00
2.237500000000000711e+00 1.281121504638362163e+00
2.262500000000000622e+00 1.281652313552782640e+00
2.287500000000000533e+00 1.282257633226394411e+00
2.312500000000000444e+00 1.282926001535011240e+00
2.337500000000000799e+00 1.283646650467110240e+00
2.362500000000000711e+00 1.284409478813296701e+00
2.387500000000000622e+00 1.285205024933234297e+00
2.412500000000000533e+00 1.286024439729415603e+00
2.437500000000000444e+00 1.286859459939323047e+00
2.462500000000000799e+00 1.287702381841331567e+00
2.487500000000000711e+00 1.288546035455209848e+00
2.512500000000000622e+00 1.289383759304943311e+00
2.537500000000000533e+00 1.290209375799870717e+00
2.562500000000000888e+00 1.291017167279620237e+00
2.587500000000000799e+00 1.291801852758917235e+00
2.612500000000000711e+00 1.292558565400033554e+00
2.637500000000000622e+00 1.293282830733214483e+00
2.662500000000000533e+00 1.293970545638890357e+00
2.687500000000000888e+00 1.294617958099750332e+00
2.712500000000000799e+00 1.295221647725675718e+00
2.737500000000000711e+00 1.295778507050172612e+00
2.762500000000000622e+00 1.296285723593135542e+00
2.787500000000000533e+00 1.296740762681467762e+00
2.812500000000000888e+00 1.297141351016333211e+00
2.837500000000000799e+00 1.297485460973392790e+00
2.862500000000000711e+00 1.297771295620435694e+00
2.887500000000000622e+00 1.297997274435147341e+00
2.912500000000000533e+00 1.298162019704438785e+00
2.937500000000000888e+00 1.298264343585702640e+00
2.962500000000000799e+00 1.298303235809531442e+00
2.987500000000000711e+00 1.298277852002862831e+00
3.012500000000000622e+00 1.298187502611076738e+00
3.037500000000000977e+00 1.298031642397344587e+00
