N,age,FeH,Mini,Mf,logL,logT,logg,phase,G_EDR3,GBP_EDR3,GRP_EDR3,age_WD,disk_label
3.7194705381613583e-06,13.0,-2.7,0.76753294,0.766,0.569,3.8013,3.91,2.0,3.34,3.569,2.946,nan,2
2.8761482508692843e-06,13.0,-2.7,0.76897502,0.768,0.606,3.7946,3.848,2.0,3.248,3.487,2.84,nan,2
2.282363743459184e-06,13.0,-2.7,0.77010483,0.769,0.639,3.7867,3.784,2.0,3.163,3.416,2.738,nan,2
1.855042058388935e-06,13.0,-2.7,0.77101594,0.769,0.67,3.7783,3.719,2.0,3.085,3.352,2.643,nan,2
1.5930915124212483e-06,13.0,-2.7,0.77178049,0.77,0.699,3.7702,3.658,2.0,3.011,3.292,2.553,nan,2
1.4093209493638539e-06,13.0,-2.7,0.77245498,0.771,0.73,3.7627,3.598,2.0,2.935,3.228,2.461,nan,2
1.3188526938640331e-06,13.0,-2.7,0.77305353,0.771,0.764,3.7561,3.538,2.0,2.851,3.157,2.364,nan,2
1.1742053338090002e-06,13.0,-2.7,0.7736463,0.772,0.806,3.7504,3.473,2.0,2.746,3.062,2.246,nan,2
8.721241678968684e-07,13.0,-2.7,0.77411419,0.772,0.846,3.7466,3.418,2.0,2.646,2.97,2.139,nan,2
6.710061065077214e-07,13.0,-2.7,0.77443409,0.773,0.877,3.7444,3.379,2.0,2.571,2.899,2.059,nan,2
7.323035527517058e-07,13.0,-2.7,0.77472031,0.773,0.907,3.7428,3.343,3.0,2.497,2.828,1.982,nan,2
8.338644651302273e-07,13.0,-2.7,0.77509558,0.773,0.948,3.7409,3.294,3.0,2.395,2.73,1.876,nan,2
8.110847419391427e-07,13.0,-2.7,0.77547354,0.773,0.992,3.739,3.243,3.0,2.287,2.625,1.764,nan,2
8.185922488400473e-07,13.0,-2.7,0.77583563,0.774,1.036,3.7374,3.192,3.0,2.177,2.518,1.651,nan,2
7.756186217456431e-07,13.0,-2.7,0.77622044,0.774,1.086,3.7357,3.135,3.0,2.052,2.396,1.523,nan,2
7.119198916580043e-07,13.0,-2.7,0.77654332,0.774,1.132,3.7343,3.084,3.0,1.94,2.287,1.408,nan,2
7.093114440042653e-07,13.0,-2.7,0.77687001,0.774,1.181,3.7328,3.029,3.0,1.818,2.167,1.283,nan,2
6.347076491477152e-07,13.0,-2.7,0.77719051,0.775,1.234,3.7312,2.97,3.0,1.687,2.038,1.149,nan,2
5.569035739767861e-07,13.0,-2.7,0.77744913,0.775,1.281,3.7297,2.917,3.0,1.571,1.925,1.031,nan,2
5.190810830040195e-07,13.0,-2.7,0.77769864,0.775,1.33,3.7283,2.862,3.0,1.45,1.807,0.907,nan,2
4.6818347417267963e-07,13.0,-2.7,0.77792275,0.775,1.378,3.7268,2.809,3.0,1.331,1.69,0.785,nan,2
4.217465300258885e-07,13.0,-2.7,0.77812582,0.775,1.426,3.7253,2.755,3.0,1.213,1.575,0.664,nan,2
3.876503928432737e-07,13.0,-2.7,0.77830756,0.775,1.472,3.7238,2.702,3.0,1.097,1.462,0.546,nan,2
3.558229475277433e-07,13.0,-2.7,0.77847952,0.775,1.521,3.7223,2.647,3.0,0.977,1.345,0.423,nan,2
3.160386408832086e-07,13.0,-2.7,0.77863222,0.775,1.568,3.7207,2.594,3.0,0.86,1.231,0.303,nan,2
2.8345496494523564e-07,13.0,-2.7,0.77876788,0.775,1.614,3.7192,2.541,3.0,0.747,1.121,0.187,nan,2
2.6104204288226365e-07,13.0,-2.7,0.77889085,0.775,1.66,3.7176,2.49,3.0,0.635,1.012,0.072,nan,2
2.3785097046904685e-07,13.0,-2.7,0.77900606,0.775,1.706,3.7161,2.437,3.0,0.52,0.901,-0.046,nan,2
2.1460509873522917e-07,13.0,-2.7,0.77910787,0.774,1.751,3.7144,2.386,3.0,0.41,0.793,-0.16,nan,2
1.9760634953263292e-07,13.0,-2.7,0.77920187,0.774,1.796,3.7129,2.334,3.0,0.298,0.685,-0.275,nan,2
1.7859098533742432e-07,13.0,-2.7,0.77928817,0.774,1.841,3.7113,2.283,3.0,0.187,0.578,-0.389,nan,2
1.6167991504749746e-07,13.0,-2.7,0.77936482,0.774,1.885,3.7097,2.233,3.0,0.081,0.475,-0.5,nan,2
